[37.37s -> 39.17s]  Hello, everyone. Hello.
[19445.80s -> 19463.86s]  I didn't catch you but whoops, I'll try again. I'm not sure helped is the right word. Mr. Balducci
[19466.31s -> 19474.79s]  In fact Tino i'm a little surprised you're still in law enforcement considering some of the unethical if not illegal stunts you pulled back then
[19485.42s -> 19487.02s]  looks like
[19487.02s -> 19516.09s]  I'm curious. How do you know shantel? We're gonna get intel. How many clients do you have?
[19519.90s -> 19521.90s]  One large pepperoni
[19537.24s -> 19538.20s]  Okay
[19538.20s -> 19550.33s]  I better go. That's a lot of pause. No get I want to leave the phone
[19551.75s -> 19564.10s]  How do I put the phone down?
[19564.10s -> 19576.62s]  This please call me five five five
[19577.10s -> 19596.34s]  Okay, two three eight three two three eight three. What's the area? What's the code?
[19602.12s -> 19635.58s]  Can you do mario? I'm sorry. I'm sorry. I got I did it. We're sorry. Your call cannot be completed as dialed
[19635.98s -> 19644.25s]  Please check the number and dial again the recording. I did it. I'm really high. I don't understand
[19644.25s -> 19646.57s]  Why does he keep dialing numbers? Oh, no
[19648.68s -> 19652.73s]  Oh, no. Um
[19652.73s -> 19654.73s]  Let's relax for a little bit
[19655.98s -> 19658.30s]  Just just chill. There's no reason to
[19659.10s -> 19661.90s]  Looks like elsa was having major boyfriend problems
[19663.91s -> 19669.86s]  Dude, I can't watch it
[19669.94s -> 19676.50s]  Sorry, this is a laundry basket. How is this not a lot? Oh
[19677.14s -> 19685.64s]  Give me this
[19685.64s -> 19686.92s]  Dear elsa
[19686.92s -> 19692.84s]  This time when I read it when I this time when I read in your letter saying you weren't coming
[19693.16s -> 19695.16s]  I didn't get sad. I got mad
[19695.16s -> 19697.16s]  I can't believe you think working as a stupid
[19697.48s -> 19702.92s]  Made it some stupid lodge for some stupid lady whose name I can't even pronounce is more important than spending time with me
[19703.62s -> 19706.02s]  If I didn't love you so much I tell you to go
[19706.58s -> 19707.78s]  Take a flying leap
[19707.78s -> 19712.58s]  But since I love you more than anything i'll just have to do something else like maybe take your precious collection of troll dolls out
[19712.58s -> 19718.18s]  Of the box you store in my garage and dump them down the disposal or maybe i'll sell them on ebay for a nickel
[19718.26s -> 19719.38s]  I have a piece
[19719.38s -> 19722.66s]  I don't know how else to make you understand that I love you with all my heart and I always will
[19726.26s -> 19744.41s]  That was a review for valorant. Okay, I need to go upstairs. All right
[19746.01s -> 19757.75s]  Jesus what happened? They have to have the thing on the door. There we go. All right, let's go in here
[19757.99s -> 19765.18s]  I got the laundry bag now clean up the room put the laundry in the laundry bag
[19776.36s -> 19783.99s]  Okay laundry very nice you want laundry done as well
[19784.31s -> 19808.79s]  Everybody else have any laundry it was just these two. I think that's it
[19809.03s -> 19821.21s]  It was only people that had the thing on there. That's it. Right? There's two more rooms for you to do
[19825.86s -> 19837.05s]  How do I go get that thing back? I got this. No, no, no, no, this is correct, right?
[19845.86s -> 19848.98s]  That's not what goes here. I gotta go. I gotta go get it
[19849.86s -> 19879.11s]  Whatever. I don't even care. What's the what's the next task to do? What's the task need something? You look busy. What are you making?
[19879.59s -> 19883.99s]  I'm building something. It's gonna solve all our problems a wolf trap one
[19883.99s -> 19891.11s]  That'll finish off that thing out there once and for all you think the wolf is causing the accidents not a doubt in my mind
[19891.67s -> 19894.63s]  Everything was a okay till it showed up and started howling
[19895.19s -> 19897.91s]  It's bad luck and something's protecting it
[19898.55s -> 19902.63s]  Something unnatural does mizma weakway know you're doing this
[19903.03s -> 19909.27s]  She knows she doesn't want that thing around her guests and you heard her i'm supposed to do whatever I think is necessary to get rid of it
[19911.45s -> 19916.97s]  But it's not like it's attacking people what's wrong with this wolf yesterday. I went looking for it
[19917.53s -> 19923.53s]  I tracked it and finally found it sitting across the creek not 20 yards away from me. Just staring at me
[19924.09s -> 19927.61s]  So I raised my rifle drew a bead and fired
[19928.17s -> 19932.97s]  Easiest shot i've ever taken in my life, but why though missed so I fired again
[19933.37s -> 19939.77s]  And I missed and then I missed again and again and all the while it just sat there staring until finally it just stood up
[19940.17s -> 19944.89s]  Walked toward the brush just as calm as could be and disappeared wild animals
[19944.97s -> 19948.09s]  Just don't act like that and I just don't miss like that
[19948.57s -> 19952.89s]  There's something real weird about that wolf and I ain't gonna rest till I get rid of it
[19953.13s -> 19957.13s]  So maybe we should just find something else to jaw about you met my little girl yet
[19957.69s -> 19962.65s]  No, but you mentioned that her name is freddy. Yep spends most of her time outside
[19963.05s -> 19965.05s]  She built herself a little snow for it
[19965.29s -> 19969.53s]  Just sits out there waiting for somebody to go by so she can pick a snowball fight with him
[19970.01s -> 19974.01s]  I keep asking her how she manages to stay warm all day, but she won't tell me
[19974.65s -> 19976.65s]  Says she's got a secret weapon
[19977.13s -> 19979.13s]  Yeah, she's something
[19979.69s -> 19981.69s]  Why do we care about this wolf who's
[19983.34s -> 19988.60s]  Who cares?
[19988.60s -> 19991.64s]  Do we think the wolf is the one dropping the grenades?
[19992.87s -> 19994.71s]  It's a magic wolf
[19994.71s -> 20005.11s]  Why do we want to kill the magic wolf? I mean it growled at me. Yeah wild animal would do that if you approached it
[20007.75s -> 20009.75s]  Why are we gonna kill a magic wolf?
[20010.34s -> 20017.24s]  Why wouldn't we want to how long have you worked for shantel if it grants us wishes or something?
[20017.48s -> 20021.24s]  I was her first hire best hire too. I could run this place
[20021.24s -> 20025.32s]  I'm telling you you just take you throw like one raw chicken at it and it'll grant us all wishes
[20025.72s -> 20031.74s]  Just one just one like raw turkey and the thing will be like, oh, thank you
[20032.06s -> 20035.75s]  By the way, how much money do you want in your bank accounts tomorrow?
[20036.31s -> 20040.36s]  It's a magical wolf
[20040.36s -> 20044.36s]  Have you ever been in the guest lodge business before I tried my hand at it once
[20045.08s -> 20050.44s]  Long story short didn't work out, but i've learned a whole lot since then I could make it work now
[20050.84s -> 20054.44s]  Just need to find the right property get my hands on enough cash to make a down payment
[20054.52s -> 20060.20s]  Is your wife freddy's mom does she live here is your wife freddy's mom does she live here too
[20060.68s -> 20063.56s]  In the summer she does but in the winter she goes south though
[20063.56s -> 20067.00s]  I don't know her name this nerve condition that makes her real sensitive to cold
[20067.40s -> 20071.40s]  freddy'd like to go with her but until shantel stops putting off giving me that rage
[20071.40s -> 20074.60s]  She promised me sending freddy south too is out of the question
[20078.41s -> 20082.89s]  Can you tell me more about the accidents that have been happening around here? Nope sure can
[20084.63s -> 20092.07s]  Hmm you can't or you don't want to shantana those lawyers or her said I couldn't talk about them supposed to direct all questions to her
[20092.55s -> 20097.88s]  Sorry
[20097.88s -> 20102.44s]  Have you seen that strange concrete monument thing that's out there on the trail kind of weird
[20103.64s -> 20107.48s]  course
[20107.48s -> 20111.32s]  Is there a way to get into it? Do you know don't know don't really care
[20111.72s -> 20115.08s]  Maybe something in that display up in the lobby will tell you what you want to know
[20115.72s -> 20122.04s]  Did you know there was an avalanche at chicken ridge sure didn't not surprised though you call the avalanche patrol
[20123.59s -> 20125.59s]  I thought I'd tell you about it first
[20125.83s -> 20129.67s]  You better give those employee instructions I left in your room another look report
[20131.35s -> 20133.66s]  Oops, sorry
[20133.66s -> 20138.74s]  No, my bad
[20138.74s -> 20145.43s]  And you should probably start drinking fucking four fingers of whiskey before you go out to hunt the magic scary wolf
[20146.15s -> 20151.62s]  Looks like we both have things to do. I'd better get back upstairs
[20152.18s -> 20157.94s]  By the way, you dumped the laundry bag before all the rooms were cleaned. So I'll put it back up at the front desk
[20159.34s -> 20160.46s]  Oh
[20160.46s -> 20168.89s]  Okay. All right. All right. All right, so I have to call the avalanche people. This is so invigorating
[20173.24s -> 20175.24s]  This is so invigorating
[20180.17s -> 20192.36s]  Um, I don't know why this keeps happening. All right, I had that was
[20195.56s -> 20197.56s]  Nancy i'm glad to see you
[20198.41s -> 20203.85s]  Are you all right? You're okay upset. You must listen. I was outside skiing very fast
[20204.17s -> 20210.57s]  As usual and suddenly boom snow dirt rocks everything went flying into the air right in front of me
[20210.81s -> 20212.81s]  There is a mad bomber on the loose
[20213.05s -> 20216.89s]  Was anybody I saw no one not before not after
[20217.45s -> 20224.89s]  My competitors bombed the bunkhouse thinking I would be so frightened that I would abandon my training and leave only I wasn't frightened
[20225.13s -> 20227.13s]  So now they are trying to bomb me
[20229.29s -> 20234.33s]  Uh, okay, do you think they're responsible for all the accidents that have been happening around here as well?
[20234.73s -> 20241.13s]  My competitors and the governance behind them. They are as desperate as they are ruthless. They're capable of anything
[20241.37s -> 20244.97s]  They can operate anywhere in the world under all conditions
[20245.21s -> 20249.77s]  It would not surprise me if someone right here in the lodge is right now under their employ
[20250.09s -> 20255.69s]  But to them I say pa they do not scare me. I'm the best cross-country skier in the world
[20255.93s -> 20261.29s]  I will neutralize their petty threats with my excellent strength skill and speed
[20261.53s -> 20265.05s]  What is this very why are you so mad what are my problems did you want
[20271.50s -> 20276.86s]  All right, have you seen the wolf in the wolf while you were out training? No for which i'm very grateful
[20277.34s -> 20282.70s]  In my country in fredonia. It is said that the gaze of the wolf will make you go blind
[20283.88s -> 20289.16s]  Really they are creatures of infinite evil and that is all i'm going to say on the matter
[20291.46s -> 20294.42s]  You're busy. So i'll let you go keviche naya
[20294.98s -> 20298.30s]  i'm telling you it's just
[20298.30s -> 20301.78s]  I hate this sound effect
[20301.78s -> 20304.90s]  All right. So we have to go do the laundry thing. I got a call about the avalanche
[20307.14s -> 20310.34s]  I don't think I think diablo is is completely done by the way
[20313.05s -> 20316.65s]  I've been sitting here and it says queued and it's just not doing anything. So i'm just gonna close it
[20317.29s -> 20319.46s]  So we're not gonna play any more diablo
[20320.28s -> 20321.42s]  unfortunate
[20321.42s -> 20323.42s]  I had it was fun. It was fun. I just
[20323.74s -> 20325.74s]  Obviously wish it worked more often
[20326.38s -> 20328.42s]  but um
[20328.42s -> 20330.42s]  I enjoyed it. I think it's gonna be
[20332.06s -> 20335.67s]  I don't know. I can't tell you only know is that it was fun for the
[20336.23s -> 20338.23s]  Three or four hours. I got to actually play it
[20344.06s -> 20348.30s]  I cannot give you a judgment on it because it's hard to do that so early into a game that is
[20349.10s -> 20352.02s]  Potentially hundreds of hours of things that you need to do in it
[20352.74s -> 20357.30s]  But I will tell you that it felt a little it felt better than the way that I felt about d3
[20358.52s -> 20360.84s]  And way better than I feel about diablo immortal. So
[20361.64s -> 20363.64s]  It was good. I thought it was fine
[20363.96s -> 20378.70s]  We'll see
[20378.78s -> 20381.02s]  Okay, I need to go back to the front desk
[20381.02s -> 20385.37s]  I gotta make a few phone calls
[20385.37s -> 20387.37s]  All right. What was it? It was
[20387.37s -> 20390.84s]  Who do I call?
[20390.84s -> 20393.78s]  I called the sheriff and it was just like oh, I don't care. Leave me alone
[20395.27s -> 20405.40s]  What what I have to call the who do I call ghostbusters? I actually watched afterlife, uh very recently
[20418.09s -> 20428.28s]  Who do I report this to is there another number lying around somewhere? I'm a senior detective
