[3.13s -> 4.33s]  All right, let's go.
[18336.18s -> 18340.42s]  Yeah, let me get this let me get this tier three wind twig.
[18341.38s -> 18342.90s]  Yeah, do it.
[18342.90s -> 18349.90s]  Is it? All right, I'm going to go for it.
[18349.90s -> 18355.76s]  OK, and we'll we'll give the boy a tier two staff.
[18359.10s -> 18362.42s]  I won't even give the boys a glance.
[18362.42s -> 18363.30s]  All right.
[18363.30s -> 18366.90s]  I was I was writing the description on that and you came over and just took it from me.
[18367.14s -> 18368.74s]  And we're just like, yeah, you can do it.
[18368.74s -> 18373.52s]  I pulled you hard. Yeah.
[18373.52s -> 18375.44s]  Well, I can I can go in the description and do it, right?
[18375.44s -> 18376.72s]  Yeah, you can do it right now.
[18376.72s -> 18384.63s]  Yeah, OK. Actually, we have to wait to lay out of this menu.
[18384.63s -> 18385.91s]  We're done. Yeah.
[18386.03s -> 18389.83s]  I was just etching that on the side of the staff in the corner,
[18389.83s -> 18392.71s]  and you came over, grabbed it out of my hands, just threw it into the side of the cave.
[18392.71s -> 18393.71s]  I threw it on the ground.
[18393.71s -> 18395.30s]  I'm sorry.
[18395.30s -> 18396.46s]  We can do it right now.
[18396.46s -> 18398.70s]  No, no, it's funny that way.
[18398.70s -> 18401.69s]  Wait, if we click back, right?
[18401.69s -> 18404.25s]  Oh, no, it's way funnier that way.
[18404.25s -> 18406.22s]  What does it say on it?
[18406.22s -> 18408.10s]  It just says lovers quarrel.
[18408.10s -> 18411.76s]  I was writing quarrel.
[18411.76s -> 18412.52s]  Oh, here we go.
[18412.52s -> 18414.00s]  The two the two lovebirds.
[18414.00s -> 18416.79s]  Let's see how this plays out.
[18416.79s -> 18426.53s]  No, I won't keep on.
[18426.53s -> 18429.05s]  The odds of our ever being here are beyond figuring.
[18429.89s -> 18432.73s]  Look at him.
[18432.73s -> 18438.77s]  Today, history hinges on the deeds of a few, very of one ordinary folk
[18438.77s -> 18443.81s]  and a few unique folk who took a tortured road and wound up in the way of destiny.
[18443.81s -> 18445.45s]  I'm glad it's us.
[18445.45s -> 18449.13s]  Yeah, one normal guy that got like bumped his head once.
[18449.13s -> 18450.85s]  And then we have all these superpowers.
[18450.85s -> 18452.21s]  You are a wizard though, that's kind of not normal.
[18452.21s -> 18454.52s]  That is true.
[18454.52s -> 18457.64s]  My shitty son's a wizard for no reason.
[18458.64s -> 18464.37s]  You know, what I like is a guarantee.
[18464.37s -> 18467.91s]  What if this creature we're trying to restore is just dead?
[18467.91s -> 18476.51s]  Like you saw, you mean the name of our image or ours.
[18476.51s -> 18481.74s]  A clear path climbs the hill ahead of them to whatever awaits.
[18481.74s -> 18483.60s]  There it is.
[18483.60s -> 18484.40s]  What the fuck happened to me?
[18484.40s -> 18485.48s]  I did some shit.
[18485.48s -> 18487.12s]  Some shit's gone down.
[18487.12s -> 18489.55s]  Yeah, this is the finale.
[18489.55s -> 18491.27s]  All right, let's get let's go for it.
[18491.27s -> 18493.94s]  Let's get it.
[18493.98s -> 18496.70s]  No sudden, no one pushing up willy nilly.
[18496.70s -> 18498.10s]  All right.
[18498.10s -> 18506.01s]  I'm making sure I stay alive.
[18506.01s -> 18510.20s]  Really?
[18510.20s -> 18511.68s]  Oh, there's two of them there.
[18511.68s -> 18518.90s]  I only saw one.
[18518.90s -> 18522.14s]  Nice.
[18522.14s -> 18525.49s]  It's me, dad.
[18525.49s -> 18528.29s]  It's me, dad.
[18528.29s -> 18530.13s]  Like dad, what should I do?
[18530.13s -> 18532.98s]  It's me, dad.
[18532.98s -> 18533.82s]  That's the job.
[18533.82s -> 18541.50s]  Oh, is this the final boss guy right here?
[18541.50s -> 18542.38s]  I think so.
[18542.38s -> 18543.10s]  No.
[18543.10s -> 18543.94s]  Well, I don't know if it's him.
[18543.94s -> 18545.62s]  I think he's a regular enemy.
[18545.62s -> 18547.14s]  Should be all strict.
[18547.14s -> 18550.29s]  Oh, yeah, it is all strict.
[18550.29s -> 18551.49s]  Have you been paying attention?
[18551.49s -> 18552.33s]  Jack and no.
[18552.33s -> 18555.78s]  Oh, like that hurt dad.
[18555.78s -> 18562.00s]  Jack and no bad dad.
[18562.00s -> 18564.38s]  All right.
[18564.38s -> 18569.30s]  Just throw the disc.
[18569.30s -> 18580.80s]  Dude, I love just throwing the discs.
[18580.80s -> 18584.90s]  That like hurts, man.
[18584.90s -> 18597.06s]  I love that voice you're doing.
[18597.06s -> 18598.46s]  Wow.
[18598.46s -> 18601.14s]  Oh my God.
[18601.14s -> 18606.67s]  All right, let's keep going.
[18606.67s -> 18607.75s]  I'm going in.
[18607.75s -> 18608.59s]  I think we should wait.
[18608.59s -> 18610.15s]  I mean, we kind of have to, right?
[18610.15s -> 18612.23s]  Yeah.
[18612.23s -> 18613.07s]  Hold on.
[18613.07s -> 18613.95s]  Let me scout.
[18613.95s -> 18626.61s]  You fucker.
[18626.65s -> 18628.94s]  Oh, very fitting.
[18628.94s -> 18631.23s]  The red tiles are shaped like a heart.
[18631.23s -> 18632.07s]  Nice.
[18632.07s -> 18636.30s]  Very nice.
[18636.30s -> 18639.82s]  Wait for me, Uncle Thomas.
[18639.82s -> 18641.58s]  Why is Thomas following us all this way?
[18641.58s -> 18642.62s]  No one likes him.
[18644.73s -> 18645.93s]  Somebody painted this on the ground
[18645.93s -> 18649.27s]  and I just, I don't appreciate it.
[18649.27s -> 18652.22s]  Oh, it hurt.
[18652.22s -> 18667.52s]  Ow, my bones.
[18667.52s -> 18671.55s]  Well, I'm have it.
[18671.55s -> 18672.39s]  10 damage.
[18683.75s -> 18690.00s]  Hey kids, time to activate order 666.
[18691.48s -> 18696.16s]  666?
[18696.16s -> 18697.80s]  I don't know that one, Dad.
[18697.80s -> 18698.76s]  Like, I'm seven.
[18698.76s -> 18701.46s]  I can't count that high, Uncle.
[18701.46s -> 18703.22s]  Shit Jesus.
[18703.22s -> 18704.30s]  We won.
[18704.30s -> 18708.18s]  Damn it.
[18708.18s -> 18709.54s]  No, there's supposed to be the boss.
[18709.54s -> 18710.38s]  Oh, wait.
[18710.38s -> 18711.22s]  Oh, that's right.
[18711.22s -> 18712.06s]  There is the big boss.
[18712.06s -> 18719.67s]  Nevermind.
[18719.67s -> 18720.51s]  Right?
[18720.51s -> 18721.33s]  I think so.
[18721.33s -> 18725.87s]  Yeah, it's right up here.
[18725.87s -> 18726.71s]  Yep.
[18726.71s -> 18727.55s]  This thing here.
[18727.55s -> 18730.74s]  Oh.
[18730.74s -> 18734.45s]  Send one of the kids to go touch it.
[18734.45s -> 18737.21s]  This fucking shaggy looking kid hasn't even said a word.
[18738.25s -> 18739.09s]  What do you mean?
[18739.25s -> 18741.93s]  I keep talking to Uncle Thomas.
[18741.93s -> 18746.18s]  We have been speaking this whole time.
[18746.18s -> 18750.41s]  Alungus, there's the time.
[18750.41s -> 18752.21s]  Bro, look at this thing.
[18752.21s -> 18760.76s]  Are you really here?
[18760.76s -> 18764.68s]  Alungus unseals Velda's earthenware bottle.
[18764.68s -> 18767.87s]  He's gonna pour it on the thing?
[18767.87s -> 18770.90s]  Don't see a pour-o.
[18770.90s -> 18773.66s]  He douses the petrified head of the god beast Moatana
[18773.66s -> 18777.93s]  in the spicy sweet smelling elixir.
[18777.93s -> 18781.23s]  We all look at it together.
[18781.23s -> 18783.10s]  Nothing happens.
[18783.10s -> 18785.30s]  Credits.
[18785.30s -> 18786.70s]  It's not working, is it?
[18790.67s -> 18791.51s]  I will.
[18791.51s -> 18793.99s]  We're out of time, Ostrichs.
[18793.99s -> 18796.07s]  Did they just give us a bottle of Sriracha
[18796.07s -> 18797.87s]  and just, well, I don't understand.
[18797.87s -> 18798.71s]  They didn't do anything?
[18798.71s -> 18800.71s]  They put the hot sauce on the head of the statue.
[18800.71s -> 18802.46s]  It was root beer.
[18802.46s -> 18803.30s]  It was literally root beer.
[18803.30s -> 18804.70s]  It was root beer.
[18804.70s -> 18808.62s]  We did just pour a bottle of root beer on this.
[18808.62s -> 18810.46s]  Why did we do that?
[18810.46s -> 18812.38s]  The kid all the way on the right, no personality.
[18812.38s -> 18813.26s]  I'm telling you.
[18813.26s -> 18814.18s]  Shaggy needs to go.
[18814.18s -> 18815.34s]  Just like his mother.
[18815.34s -> 18816.94s]  Like, Ostrichs showed up.
[18816.94s -> 18819.14s]  You know how long we've been fucking,
[18819.14s -> 18820.34s]  like six hours, dude.
[18820.34s -> 18822.42s]  Wait, Ostrich, this is not Ostrichs?
[18822.42s -> 18823.54s]  This is Ostrichs.
[18823.54s -> 18824.38s]  Whatever is over here.
[18824.38s -> 18825.54s]  The bird is Moatana.
[18825.54s -> 18829.58s]  I think, I think, I think this is, this is Thomas.
[18829.58s -> 18832.38s]  Cause you remember how he was reading the book at the start.
[18832.38s -> 18833.30s]  Oh, okay.
[18835.58s -> 18836.70s]  Ostrichs knew.
[18836.70s -> 18842.62s]  This tale was of his telling.
[18842.62s -> 18845.70s]  When the first land was raised from the folds of the sea,
[18845.70s -> 18848.22s]  two worlds were born out of one.
[18848.22s -> 18851.38s]  To Ostrichs, a mighty and arrogant Gorgon hero,
[18851.38s -> 18853.38s]  this was creation's mistake.
[18853.38s -> 18857.06s]  And he dreamed he'd mend it.
[18857.06s -> 18858.74s]  Very little has ever been known of the things
[18858.74s -> 18861.54s]  that scrum and scoil beneath the tides.
[18861.54s -> 18863.38s]  We know the Gorgons are old.
[18863.38s -> 18868.06s]  Old, old, old.
[18868.06s -> 18871.90s]  So maybe they aren't easily moved.
[18871.90s -> 18876.20s]  My vanity hopes we threw him some surprises,
[18876.20s -> 18881.46s]  but it's possible we were his fools from the very beginning.
[18881.46s -> 18885.58s]  We unpuzzled the stone and chased that spear of petroglass.
[18885.58s -> 18888.87s]  We struck a blow, I think, in taking it.
[18888.87s -> 18892.07s]  But our grubbing plunder of a Gorgon heirloom
[18892.07s -> 18894.33s]  gave him a story to tell.
[18894.33s -> 18899.23s]  Our species cast as the scrabbling villains.
[18899.23s -> 18902.39s]  Incited, his Gorgon brethren together rose behind him
[18902.39s -> 18908.06s]  to imputer this gentle god.
[18908.06s -> 18910.18s]  And the ocean rose while the rain fell
[18910.18s -> 18914.88s]  and the ice of the world turned to melt.
[18914.88s -> 18918.06s]  For a while, I'm sure he believed his dream
